"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title"
"62",62,111,"pygoscelis_adeliae","birds","wild","field","observational","adult","male","foraging_conditions","food_limitation","months","body_mass","body_condition","stress_induced",2.933,0.667,1.366,0.501,4.7,0.1,4.7,0.12,11,11,11,11,"no","Beaulieu et al. ",2010,"Functional Ecology","When sea-ice clock is ahead of Ade ́lie penguins’ clock"
"63",63,111,"pygoscelis_adeliae","birds","wild","field","observational","adult","female","foraging_conditions","food_limitation","months","body_mass","body_condition","stress_induced",4.032,1.634,3.199,1.133,4.042,0.117,4.213,0.117,11,11,11,11,"no","Beaulieu et al. ",2010,"Functional Ecology","When sea-ice clock is ahead of Ade ́lie penguins’ clock"
"64",64,115,"taeniopygia_guttata","birds","wild","lab","experimental","juvenile","both","low_quality_food","food_limitation","days","body_mass","body_condition","stress_induced",11.06,1.38,15.58,2.71,9.18,0.12,7.22,0.29,71,30,69,30,"no","Honarmand",2010,"PLOS one","Stressful Dieting: Nutritional Conditions but Not Compensatory Growth Elevate Corticosterone Levels in Zebra Finch Nestlings and Fledglings"
"65",64,115,"taeniopygia_guttata","birds","wild","lab","experimental","juvenile","both","low_quality_food","food_limitation","days","tarsus_length","body_condition","stress_induced",11.06,1.38,15.58,2.71,13.55,0.07,13.03,0.17,71,30,69,30,"no","Honarmand",2010,"PLOS one","Stressful Dieting: Nutritional Conditions but Not Compensatory Growth Elevate Corticosterone Levels in Zebra Finch Nestlings and Fledglings"
"66",66,118,"brycon _nsignis","fish","captive","lab","experimental","juvenile","both","stocking_density","density","months","body_mass","body_condition","stress_induced",83.4,2.57,96,8.47,118.4,1.64,100.3,0.64,10,10,10,10,"no","Tolussi et al. ",2010,"Aquaculture","The effects of stocking density in physiological parameters and growth of the endangered teleost species piabanha, Brycon insignis (Steindachner, 1877)"
"67",67,118,"brycon _nsignis","fish","captive","lab","experimental","juvenile","both","stocking_density","density","months","body_length","body_condition","stress_induced",83.4,2.57,96,8.47,23.2,0.08,22.2,0.01,10,10,10,10,"no","Tolussi et al. ",2010,"Aquaculture","The effects of stocking density in physiological parameters and growth of the endangered teleost species piabanha, Brycon insignis (Steindachner, 1877)"
"68",68,118,"brycon _nsignis","fish","captive","lab","experimental","juvenile","both","stocking_density","density","months","fultons_k","body_condition","stress_induced",83.4,2.57,96,8.47,0.9,0.004,1.07,0.004,10,10,10,10,"no","Tolussi et al. ",2010,"Aquaculture","The effects of stocking density in physiological parameters and growth of the endangered teleost species piabanha, Brycon insignis (Steindachner, 1877)"
"69",69,119,"scortum barcoo","fish","captive","lab","experimental","adult","both","stocking_density","density","days","body_mass","body_condition","stress_induced",78.5,7.88,83.37,8.3,96.62,2.99,75.54,6.36,48,48,48,48,"no","Gang et al. ",2010,"Aquaculture","Effect of density on Scortum barcoo (McCulloch & Waite) juvenile performance in circular tanks"
"70",70,123,"lepus_americanus","mammals","wild","lab","experimental","reproductive","female","predator_presence","predation_risk","days","litter_size","reproductive_success","stress_induced",284.345,35.559,656.845,137.25,3.64,0.24,3.22,0.28,12,14,12,14,"no","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares"
"71",71,123,"lepus_americanus","mammals","wild","lab","experimental","reproductive","female","predator_presence","predation_risk","days","body_mass","reproductive_success","stress_induced",284.345,35.559,656.845,137.25,57.23,2.69,36.16,3.35,12,14,12,14,"no","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares"
"72",72,123,"lepus_americanus","mammals","wild","lab","experimental","reproductive","female","predator_presence","predation_risk","days","Right_hind_foot","reproductive_success","stress_induced",284.345,35.559,656.845,137.25,36.08,0.86,30.57,0.74,12,14,12,14,"no","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares"
"73",73,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile","both","resource_limitation","food_limitation","days","body_mass","body_condition","stress_induced",2.117,0.483,4.025,0.606,402.591,4.421,298.446,3.627,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"74",74,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile","both","resource_limitation","food_limitation","days","wing_chord_length","body_condition","stress_induced",2.117,0.483,4.025,0.606,140.838,1.673,143.525,1.259,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"75",75,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile","both","resource_limitation","food_limitation","days","Taursus_length","body_condition","stress_induced",2.117,0.483,4.025,0.606,31.576,0.173,30.89,0.174,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"76",76,130,"cerorhinca_monocerata","birds","captive","lab","experimental","juvenile","both","resource_limitation","food_limitation","days","culmen_length","body_condition","stress_induced",2.117,0.483,4.025,0.606,26.579,0.5225,24.55,0.277,13,13,13,13,"no","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"77",77,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","total_length","body_condition","stress_induced",17.039,0.954,49.342,4.561,12.2,0.4,11.9,0.1,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"78",78,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","body_weight","body_condition","stress_induced",17.039,0.954,49.342,4.561,26.8,2.7,23.7,1.7,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"79",79,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","survival_%","survival","stress_induced",17.039,0.954,49.342,4.561,93.7,8.8,90,4.7,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"80",80,131,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","hematosomatic_index","body_condition","stress_induced",17.039,0.954,49.342,4.561,1.01,0.1,1.2,0.1,10,10,10,10,"no","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"81",81,132,"scaphiopodidae","amphibians","captive","lab","experimental","juvenile","both","resource_limitation","food_limitation","days","body_mass","body_condition","baseline",7.91,1.074,6.841,1.774,2.675,0.117,2.342,0.095,12,12,33,33,"no","Rettig and Lagon",2021,"Ecology and evolution ","A novel diet interacts with nutritional stress to modify juvenile behaviours and glucocortocoid responses"
"82",82,132,"scaphiopodidae","amphibians","captive","lab","experimental","juvenile","both","resource_limitation","food_limitation","days","body_mass","body_condition","stress_induced",8.138,1.21,10.719,1.526,2.675,0.117,2.342,0.095,12,12,33,33,"no","Rettig and Lagon",2021,"Ecology and evolution ","A novel diet interacts with nutritional stress to modify juvenile behaviours and glucocortocoid responses"
"83",90,163,"octodon_degu","mammals","wild","field","observational","adult","both","edible_vegetation_availability","food_limitation","years","hematocrit","immune_function","baseline",106.997,23.682,172.028,22.497,0.76,0.01,0.72,0.01,37,50,35,51,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"84",91,163,"octodon_degu","mammals","wild","field","observational","adult","both","edible_vegetation_availability","food_limitation","years","body_mass","body_condition","baseline",106.997,23.682,172.028,22.497,148.65,3.64,148.05,1.99,37,50,39,55,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"85",92,163,"octodon_degu","mammals","wild","field","observational","adult","both","edible_vegetation_availability","food_limitation","years","hematocrit","immune_function","stress_induced",535.933,38.719,488.206,32.779,0.76,0.01,0.72,0.01,37,54,35,51,"no","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
